year,title,artist,id,uri,rank,genre,cover,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,time_signature,duration_ms,start_time
1947,Tallahassee,Bing Crosby,6OgybnVKxtuzJtWsjlo0D0,spotify:track:6OgybnVKxtuzJtWsjlo0D0,41,Pop,FALSE,0.742,0.281,1,-11.599,0.11,0.878,0,0.953,0.602,122.311,1,3,170120,0:06
1947,Cement Mixer,Slim Gaillard,2zpaESFmRQAXyN7sZryFSb,spotify:track:2zpaESFmRQAXyN7sZryFSb,41,Jazz,FALSE,0.75,0.135,2,-15.031,0.0935,0.985,0.586,0.117,0.485,126.952,0,4,196813,0:37
1947,Siuox City Sue,Bing Crosby,3MQSQIjNDpv3leIZwuxKt2,spotify:track:3MQSQIjNDpv3leIZwuxKt2,42,Pop,FALSE,0.611,0.205,2,-14.44,0.0604,0.914,0,0.261,0.857,82.531,0,4,167200,0:11
1947,Passing By,Frankie Carle,2gchpgSzDH2zIfPPKhrMk1,spotify:track:2gchpgSzDH2zIfPPKhrMk1,42,Jazz,FALSE,0.409,0.216,9,-11.774,0.0292,0.985,0.00166,0.196,0.206,89.897,1,3,144667,0:10
1947,"Doin' What Comes Natur'lly (from ""Annie Get Your Gun"")",Betty Hutton,16JGNfEpydf2S4hquiagI4,spotify:track:16JGNfEpydf2S4hquiagI4,43,Pop,FALSE,0.606,0.0275,8,-31.483,0.0751,0.992,0.0213,0.551,0.745,168.279,1,4,167588,0:03
1947,Bloop Bleep,Danny Kaye,6J03tagARuLLTBVKNMwwa2,spotify:track:6J03tagARuLLTBVKNMwwa2,43,Pop,FALSE,0.702,0.112,8,-13.612,0.106,0.831,0.0595,0.112,0.534,119.556,0,4,157373,0:08
1947,In Love In Vain - 1990 - Remastered,Margaret Whiting,6HI1EXzQEqGLRDHrWyJ80h,spotify:track:6HI1EXzQEqGLRDHrWyJ80h,44,Pop,FALSE,0.35,0.156,10,-12.609,0.0299,0.827,0,0.0741,0.338,94.348,1,4,181000,0:58
1947,One More Tomorrow,Frankie Carle,6oEXtHqwJ0VbVZ5yvTPsJB,spotify:track:6oEXtHqwJ0VbVZ5yvTPsJB,45,Jazz,FALSE,0.577,0.29,3,-7.925,0.0359,0.897,1.17E-05,0.222,0.856,160.719,1,4,157333,0:50
1947,I Wonder Who's Kissing Her Now (with Lloyd Shaffer and his Orchestra),Perry Como,2L5X7VrtJ3g61n69rAV1d5,spotify:track:2L5X7VrtJ3g61n69rAV1d5,45,Pop,FALSE,0.337,0.0557,4,-19.442,0.0367,0.99,0.21,0.372,0.161,103.577,1,4,189560,0:17
1947,I Wish I Didn't Love You So,Betty Hutton,47lnApLDC2ZHmyRWGLqAdF,spotify:track:47lnApLDC2ZHmyRWGLqAdF,46,Pop,FALSE,0.324,0.134,9,-17.405,0.0383,0.981,0.0736,0.199,0.174,78.467,1,4,184190,0:22
